Problem_ID,Status,Nodes_Explored,Time_Seconds,Order_Type
1045,Solved,230533,0.055091,1
1047,Solved,3617,0.001832,1
1048,Solved,9041,0.003561,1
1049,Solved,15725,0.00445,1
1050,Solved,13327,0.00465,1
1051,Solved,12931,0.002988,1
1052,Solved,1363,0.001162,1
1055,Solved,522592,0.149607,1
1056,Solved,1424,0.001218,1
1057,Solved,2648,0.001622,1
1058,Solved,36807,0.008735,1
1059,Solved,10959,0.002739,1
1060,Solved,159821,0.047148,1
1061,Solved,6030,0.002691,1
1062,Solved,407,0.000736,1
1063,Solved,500638,0.14718,1
1064,Solved,24,0.000918,1
1066,Solved,11433,0.003239,1
1067,Solved,2638,0.001368,1
1068,Solved,132518,0.038778,1
1070,Solved,310,0.001302,1
1072,Solved,6730,0.002622,1
1074,Solved,43186,0.013083,1
1075,Solved,4908342,1.39586,1
1076,Solved,5529,0.002475,1
1077,Solved,42334,0.013291,1
1079,Solved,2179,0.001573,1
1081,Solved,1288314,0.240769,1
1082,Solved,787218,0.166271,1
1083,Solved,9491,0.003734,1
1084,Solved,16897,0.00603,1
1085,Solved,1263,0.001169,1
1086,Solved,14717,0.005177,1
1090,Solved,18086,0.006243,1
1091,Solved,12467548,3.55778,1
1092,Solved,106641,0.031836,1
1093,Solved,1951405,0.360902,1
1094,Solved,11,0.00077,1
1097,Solved,6,0.00104,1
1099,Solved,12464,0.004361,1
1100,Solved,115690,0.034444,1
1102,Solved,2692994,0.799599,1
1103,Solved,581,0.001425,1
1108,Solved,46253,0.014087,1
1110,Solved,18475,0.00647,1
1111,Solved,25641,0.008593,1
1112,Solved,123265,0.025342,1
1113,Solved,76,0.000863,1
1114,Solved,36401,0.008303,1
1115,Solved,271,0.001029,1
1116,Solved,8545182,2.4856,1
1117,Solved,41331,0.00931,1
1118,Solved,78442,0.023846,1
1120,Solved,12252,0.003226,1
1121,Timeout,-1,20,1
1122,Solved,180419,0.040371,1
1123,Solved,1388,0.001271,1
1124,Solved,11714,0.004377,1
1125,Solved,377,0.000896,1
1126,Solved,211,0.000925,1
1127,Solved,22265,0.007378,1
1128,Solved,10286,0.003849,1
1129,Solved,85,0.000827,1
1130,Solved,80246,0.024418,1
1131,Solved,14887,0.005218,1
1133,Solved,11279,0.00427,1
1134,Solved,9570,0.003675,1
1135,Solved,4665,0.002191,1
1136,Solved,1455726,0.399671,1
1137,Solved,3463825,1.00115,1
1142,Solved,24961,0.007905,1
1143,Solved,4794737,1.39636,1
1144,Solved,398899,0.08938,1
1145,Solved,6818609,1.03562,1
1146,Solved,357423,0.102858,1
1147,Solved,271,0.000929,1
1148,Solved,4425,0.00216,1
1149,Solved,682863,0.184119,1
1151,Solved,19554,0.004701,1
1152,Solved,11,0.000784,1
1153,Solved,315,0.000931,1
1154,Solved,1128,0.001262,1
1156,Solved,34744,0.010934,1
1157,Solved,38980,0.012249,1
1159,Solved,3341,0.002202,1
1160,Solved,11,0.001088,1
1161,Solved,35,0.001436,1
1162,Solved,23709,0.00781,1
1163,Solved,8530,0.002702,1
1165,Solved,275,0.000989,1
1166,Solved,601,0.001048,1
1167,Solved,2410297,0.663557,1
1168,Solved,50162,0.016656,1
1169,Solved,640519,0.179758,1
1170,Solved,1680955,0.485481,1
1171,Solved,1133,0.001297,1
1173,Solved,10496,0.004029,1
1174,Solved,28896,0.009401,1
1176,Solved,65,0.001143,1
1177,Solved,1995,0.001662,1
1178,Solved,660526,0.11034,1
1180,Solved,5849004,1.65394,1
1181,Solved,1138,0.001583,1
1183,Solved,55905,0.012315,1
1184,Solved,2237,0.001566,1
1185,Solved,251,0.001071,1
1186,Solved,407,0.001258,1
1187,Solved,31,0.001005,1
1188,Solved,23105,0.007638,1
1189,Solved,5778,0.001829,1
1190,Solved,1634,0.001265,1
1192,Solved,14495,0.005094,1
1193,Solved,5158126,1.46332,1
1195,Solved,1158,0.001222,1
1196,Solved,43488,0.013224,1
1197,Solved,5789410,1.58577,1
1198,Solved,11,0.001172,1
1199,Solved,17933,0.006056,1
1200,Timeout,-1,20,1
1201,Solved,1119084,0.223557,1
1202,Solved,14711470,4.33005,1
1203,Solved,8157,0.002813,1
1204,Solved,4333242,1.22601,1
1205,Solved,46,0.000746,1
1206,Solved,10918,0.00312,1
1207,Solved,66,0.000631,1
1208,Solved,2685369,0.747227,1
1209,Solved,231,0.00091,1
1210,Solved,1664861,0.488098,1
1211,Solved,45,0.000796,1
1213,Solved,4908495,1.37132,1
1214,Solved,15636,0.005685,1
1215,Solved,1115334,0.211071,1
1216,Solved,6055,0.002158,1
1217,Solved,9041,0.003798,1
1219,Solved,4456,0.002918,1
1220,Solved,10005,0.003878,1
1221,Solved,1109,0.000956,1
1222,Solved,16616,0.006292,1
1223,Solved,1771050,0.51189,1
1225,Solved,21246,0.004957,1
1226,Solved,19,0.001198,1
1227,Solved,29690,0.010283,1
1228,Solved,121093,0.036635,1
1230,Solved,321787,0.093404,1
1231,Solved,21676,0.00723,1
1233,Solved,11,0.001534,1
1234,Solved,516109,0.149276,1
1235,Solved,1438,0.001033,1
1236,Solved,1133,0.001377,1
1237,Solved,15,0.000931,1
1239,Solved,11778653,2.38506,1
1240,Solved,1243,0.001211,1
1242,Solved,1378,0.001183,1
1243,Solved,1404,0.00128,1
1244,Solved,216,0.00095,1
1245,Solved,1973217,0.528753,1
1246,Solved,43634,0.009312,1
1247,Solved,142013,0.042333,1
1248,Solved,2414,0.001361,1
1249,Solved,1808697,0.416195,1
1251,Solved,6355413,1.37883,1
1252,Solved,51,0.000904,1
1254,Solved,48257,0.014815,1
1255,Solved,53241,0.007414,1
1256,Solved,1474,0.001021,1
1257,Solved,110269,0.03431,1
1258,Solved,6,0.000819,1
1259,Solved,85,0.000953,1
1260,Solved,47688,0.014943,1
1261,Solved,545878,0.158712,1
1263,Solved,10525,0.002813,1
1264,Solved,17959,0.004262,1
1265,Solved,407,0.000928,1
1266,Solved,48966,0.014877,1
1267,Solved,9113,0.003447,1
1268,Solved,165156,0.047908,1
1269,Solved,134022,0.03984,1
1271,Solved,389,0.001036,1
1272,Solved,646029,0.185039,1
1273,Solved,11249,0.004295,1
1274,Solved,3246,0.001509,1
1275,Solved,9396,0.003737,1
1276,Solved,210617,0.04184,1
1277,Solved,4415163,0.977875,1
1278,Solved,20341,0.007185,1
1279,Solved,180399,0.051271,1
1280,Solved,29624,0.009571,1
1281,Solved,194125,0.057618,1
1282,Solved,2344584,0.643369,1
1283,Solved,45213,0.00963,1
1285,Solved,1926621,0.379509,1
1286,Solved,52341,0.011967,1
1287,Solved,530,0.001001,1
1288,Solved,37638,0.009009,1
1291,Solved,6984,0.002789,1
1292,Solved,2718255,0.731679,1
1293,Solved,725,0.001574,1
1297,Solved,8048,0.0021,1
1298,Solved,254,0.001068,1
1299,Solved,10349,0.002644,1
1300,Solved,3708,0.002199,1
1301,Solved,2954734,0.66082,1
1302,Solved,3788035,1.13616,1
1305,Solved,14171,0.005038,1
1306,Solved,300,0.000981,1
1307,Solved,1274686,0.355605,1
1308,Solved,25812,0.008317,1
1309,Solved,3331,0.001689,1
1310,Solved,365010,0.104815,1
1311,Solved,15,0.000739,1
1312,Solved,1580991,0.466285,1
1313,Solved,1223,0.001121,1
1314,Solved,11,0.000893,1
1315,Solved,20075,0.007329,1
1316,Solved,653,0.001148,1
1318,Solved,5956823,1.62607,1
1320,Solved,1673886,0.507229,1
1321,Solved,11201,0.004089,1
1322,Solved,3213658,0.947545,1
1324,Solved,264170,0.074667,1
1327,Solved,4645,0.00216,1
1328,Solved,19011,0.006013,1
1329,Solved,49562,0.014901,1
1330,Solved,1125678,0.322059,1
1331,Solved,26014,0.008729,1
1332,Solved,2406409,0.69918,1
1333,Solved,36,0.00104,1
1334,Solved,1309281,0.254117,1
1335,Solved,2543,0.002023,1
1336,Solved,25851,0.008444,1
1337,Solved,180,0.001059,1
1338,Solved,12409,0.003438,1
1339,Solved,2467,0.001634,1
1340,Solved,39211,0.00879,1
1341,Solved,485253,0.139282,1
1342,Solved,78391,0.02442,1
1345,Solved,4861,0.00223,1
1346,Solved,6,0.00066,1
1347,Solved,2422,0.001293,1
1348,Solved,43548,0.00981,1
1353,Solved,689,0.001066,1
1354,Solved,46925,0.014337,1
1355,Solved,1465343,0.262503,1
1356,Solved,1398,0.001193,1
1357,Solved,1791110,0.515978,1
1358,Solved,482819,0.140568,1
1359,Solved,1287995,0.178916,1
1361,Solved,8304,0.00228,1
1362,Solved,3066,0.001556,1
1363,Solved,30421,0.009775,1
1364,Solved,206,0.000775,1
1365,Solved,420,0.000901,1
1366,Solved,461,0.001057,1
1367,Solved,1283729,0.364044,1
1368,Solved,637142,0.189986,1
1369,Solved,2713,0.001541,1
1370,Solved,65466,0.021001,1
1371,Solved,3714736,1.11187,1
1372,Solved,3088598,0.910619,1
1373,Solved,1430143,0.406815,1
1374,Solved,164,0.000973,1
1375,Solved,20075,0.006955,1
1376,Solved,13813975,3.13362,1
1377,Solved,384849,0.082854,1
1378,Solved,46860,0.015133,1
1379,Solved,3384291,0.677598,1
1380,Solved,1552111,0.46494,1
1381,Solved,30123,0.009542,1
1383,Solved,1939382,0.552552,1
1384,Solved,5501,0.001971,1
1388,Solved,5406,0.002139,1
1389,Solved,1322198,0.364504,1
1390,Solved,483045,0.142864,1
1391,Solved,10122478,3.03557,1
1392,Solved,53368,0.011171,1
1393,Solved,467,0.000965,1
1395,Solved,319539,0.093301,1
1396,Solved,146,0.000701,1
1399,Solved,112062,0.033528,1
1401,Solved,354402,0.101646,1
1402,Solved,675348,0.113821,1
1403,Solved,166,0.000751,1
1404,Solved,361076,0.102877,1
1405,Solved,31438,0.006535,1
1406,Solved,158871,0.046646,1
